, 股票代號, 股票名稱, 發行股數, 收盤價, 市值(佰萬元),類型,yahooid
359,1337,再生-KYAsia Plastic,26.8954729,9.22,24797.62601,tw,1337.tw
360,6142,友勁CAMEO,26.8235633,9.15,24543.56042,tw,6142.tw
361,1215,卜蜂企業CPE,26.7990998,72.4,194025.4826,tw,1215.tw
362,3705,永信Y.S.H.,26.6422983,44.7,119091.0734,tw,3705.tw
363,5525,順天SWEETEN,26.4591266,21.95,58077.78289,tw,5525.tw
364,1519,華城電機FE,26.1058548,49.7,129746.0984,tw,1519.tw
365,1903,士林紙業Shihlin Paper,26.0039121,59.3,154203.1988,tw,1903.tw
366,2450,神腦Senao,25.8252657,35.5,91679.69324,tw,2450.tw
367,2456,奇力新Chilisin,25.7944993,112,288898.3922,tw,2456.tw
368,5515,建國CHIEN KUO,25.7440105,13.45,34625.69412,tw,5515.tw
369,4526,東台TOPPER,25.4826461,16,40772.23376,tw,4526.tw
370,2338,光罩TMC,25.2713611,40.35,101969.942,tw,2338.tw
371,2421,建準Sunon,25.0929732,53.8,135000.1958,tw,2421.tw
372,5388,中磊SERCOMM,24.9054767,78,194262.7183,tw,5388.tw
373,3035,智原Faraday,24.8550313,50.9,126512.1093,tw,3035.tw
374,9930,中聯資源CHC,24.8540368,47.45,117932.4046,tw,9930.tw
375,3712,永崴投控FIT,24.6242146,32.4,79782.4553,tw,3712.tw
376,2543,皇昌Hwang Chang,24.1983788,7.18,17374.43598,tw,2543.tw
377,1618,合機電纜Hold-Key,24.0864684,13.35,32155.43531,tw,1618.tw
378,2442,新美齊Jean,24.0059335,11.5,27606.82353,tw,2442.tw
379,1203,味王Ve Wong,24,36.6,87840,tw,1203.tw
380,1723,中鋼碳素CSCC,23.690448,108.5,257041.3608,tw,1723.tw
381,3030,德律TRI,23.6216,57.8,136532.848,tw,3030.tw
382,2373,震旦行Aurora,23.6202518,88.9,209984.0385,tw,2373.tw
383,3023,信邦SINBON,23.2777468,216,502799.3309,tw,3023.tw
384,3010,華立Wahlee,23.1390138,76,175856.5049,tw,3010.tw
