, 股票代號, 股票名稱
612,6112,聚碩
613,6197,佳必琪
614,6743,安普新
615,2231,為升
616,3607,谷崧精密
617,3653,健策
618,1598,岱宇
619,8210,勤誠興業
620,3515,華擎
621,4766,南寶 
622,3419,譁裕
623,8016,矽創
624,6277,宏正
625,4976,佳凌科技
626,2497,怡利電-KY
627,4576,大銀微系統
628,3305,昇貿科技
629,3501,維熹科技 
630,2239,英利-KY 
631,6133,金橋 
632,4552,力達-KY
633,6136,富爾特
634,6226,光鼎電子 
635,2397,友通
636,2493,揚博
637,3504,揚明光 
638,2462,良得電
639,3011,今皓
640,2739,寒舍  
641,2722,夏都
642,8341,日友
643,3406,玉晶光
644,6581,鋼聯
645,1466,聚隆纖維
646,1592,英瑞-KY
647,2431,聯昌 
648,4994,傳奇-KY
649,1589,永冠-KY
650,2702,華園
651,8482,商億-KY
652,9931,欣高 
653,1583,程泰
654,4551,智伸科技 
655,2929,淘帝-KY
656,8033,雷虎
657,9944,新麗
658,2483,百容
659,8422,可寧衛
660,4952,凌通科技
661,1236,宏亞食品 
662,4746,台耀化學
663,1727,中華化
664,6477,安集
665,6192,巨路
666,6451,訊芯-KY
667,2480,敦陽科
668,6582,申豐 
669,2546,根基
670,2459,敦吉
671,2444,兆勁
672,2712,遠雄來
673,1235,興泰 
674,8427,基勝-KY
675,1465,偉全
676,3533,嘉澤
677,4438,廣越
678,3032,偉訓
679,9955,佳龍
680,1568,倉佑
681,4739,康普
682,5234,達興材料
683,3055,蔚華科
684,1438,三地開發地產
685,1413,宏洲纖維
686,3002,歐格
687,2425,承啟
688,9929,秋雨創新
689,8271,宇瞻
690,1441,大東紡織 
691,4755,三福化 
692,1453,大將 
693,4956,光鋐科技
694,4722,國精化學
695,6164,華興電子
696,2453,凌群
697,1733,五鼎
698,1735,日勝化工
699,6281,全國電
700,3027,盛達
701,3308,聯德電子
702,1533,車王電
703,9902,台火開發
704,2024,志聯工業 
705,2348,海悅
706,3296,勝德
707,1530,亞崴電機
708,1529,樂士
709,1436,華友聯  
710,2642,宅配通
711,2059,川湖 
712,2438,翔耀
713,4155,訊映 
714,4540,全球傳動 
715,5285,界霖 
716,3021,鴻名企業
717,1456,怡華
718,3708,上緯投控
719,6414,樺漢
720,3669,圓展科技
721,6415,矽力-KY
722,1439,中和羊毛 
723,1323,永裕
724,8478,東哥遊艇
725,4536,拓凱
726,1233,天仁 
727,2115,六暉-KY 
728,3543,州巧
729,3356,奇偶科技
730,5258,虹堡
731,4720,德淵企業 
732,8996,高力
733,1795,美時 
734,8374,羅昇 
735,6201,亞弘電
736,6117,迎廣 
737,3054,立萬利
738,3338,泰碩
739,6409,旭隼
740,3454,晶睿
741,6558,興能高
742,6155,鈞寶電子
743,6216,居易 
744,6230,超眾
745,3164,景岳生技
746,8081,致新
747,1470,大統新創
748,1540,喬福機械
749,1325,恒大
750,3550,聯穎
751,2241,艾姆勒
752,3094,聯傑國際
753,6449,鈺邦
754,3057,喬鼎
755,1338,廣華-KY
756,4916,事欣科
757,4106,雃博
758,9906,欣巴巴  
759,9942,茂順 
760,6552,易華電
761,6215,和椿
762,3413,京鼎
763,5203,訊連
764,1449,佳和實業 
765,1537,廣隆光電 
766,6598,ABC-KY
767,8261,富鼎先進
768,1597,直得
769,3583,辛耘
770,8367,建新國際
771,3617,碩天
772,3518,柏騰 
773,2247,汎德永業
774,2033,佳大世界 
775,6573,虹揚-KY
776,1805,寶徠建設
777,3346,麗清 
778,3167,大量科技 
779,5546,永固-KY
780,6224,聚鼎科技
781,8072,陞泰科技 
782,2415,錩新 
783,2488,漢平
784,2358,廷鑫
785,4137,麗豐-KY
786,4119,旭富
787,3535,晶彩科
788,8103,瀚荃
789,1541,錩泰 
790,3530,晶相光
791,1762,中化合成
792,2491,吉祥全
793,4545,銘鈺
794,2727,王品
795,1760,寶齡富錦
796,2936,客思達-KY
797,1521,大億
798,2228,劍麟
799,6655,科定
800,2748,雲品
801,4764,雙鍵
802,1324,地球
803,1432,大魯閣
804,6243,迅杰
805,8114,振樺電子
806,4999,鑫禾科技
807,1339,昭輝
808,6531,愛普科技 
809,8462,柏文 
810,3018,同開 
811,1525,江申
812,4967,十銓
813,6416,瑞祺電通
814,2901,欣欣大眾 
815,5283,禾聯碩
816,3257,虹冠電
817,6504,南六 
818,1817,凱撒衛浴
819,3557,嘉威
820,6205,詮欣
821,6672,騰輝電子-KY
822,3025,星通
823,2114,鑫永銓
824,1776,展宇科技
825,6491,晶碩
826,2731,雄獅旅遊
827,2468,華經
828,1783,和康生
829,6442,光紅建聖
830,5269,祥碩科技
831,2904,匯僑
832,4977,眾達-KY
833,8222,寶一科技 
834,6668,中揚光 
835,5484,慧友
836,4560,強信-KY 
837,1342,八貫 
838,8104,錸寶科技
839,4562,穎漢
840,6756,威鋒電子
841,8488,吉源-KY
842,8940,新天地 
843,4566,時碩工業 
844,5706,鳳凰旅遊 
845,6674,鋐寶科技
846,4555,台灣氣立
847,8443,阿瘦
848,6706,惠特
849,8481,政伸
850,3432,台端 
851,6698,旭暉應材
852,8466,美(吉吉)-KY
853,6754,匯僑設計 
854,5288,豐祥-KY
855,6405,悅城
856,3528,安馳科技
857,1539,巨庭機械
858,1587,吉茂
859,4148,全宇生技-KY
860,8070,長華電材 
861,1730,花仙子
862,4968,立積
863,3593,力銘科技
864,3040,遠見
865,1410,南洋染整
866,3679,新至陞科技
867,8201,無敵科技
868,2482,連宇
869,3661,世芯-KY
870,4737,華廣
